name,malay_name,acronym,founded,city,state,link
ALFA International College,Kolej ALFA,ALFA,1998,Subang Jaya,Selangor,
Al-Madinah International University,Universiti Antarabangsa Al-Madinah,MEDIU,2006,Shah Alam,Selangor,
Binary University of Management and Entrepreneurship,Universiti Pengurusan dan Keusahawanan,BUME,1984,Puchong,Selangor,
CITY University College of Science and Technology,Kolej Universiti Sains dan Teknologi CITY,CITY UC,1984,Petaling Jaya,Selangor,
Cyberjaya University College of Medical Sciences,Kolej Universiti Sains Perubatan Cyberjaya,CUCMS,2005,Cyberjaya,Selangor,
German-Malaysian Institute,Institut Jerman-Malaysia,GMI,1991,Bangi,Selangor,
INTI International College Subang,Subang Kolej Antarabangsa INTI,INTI,1998,Subang Jaya,Selangor,
International University College Of Arts and Science,Kolej Universiti Antarabangsa seni dan sains,IUCAS,2009,Kota Damansara,Selangor,
International University College Of Technology Twintech,Kolej Universiti Antarabangsa Teknologi Twintech,TWINTECH,1994,Bangi,Selangor,
KDU University College,Kolej Universiti KDU,KDU,1983,Petaling Jaya,Selangor,
National Institute of Ophthalmic Sciences - The academic arm of The Tun Hussein Onn National Eye Hospital,Institut Nasional Sains Oftalmik,NIOS,2006,Petaling Jaya,Selangor,
University of East London,Kolej Olympia Penang,Olympia College,1995,Penang,Selangor,
Infrastructure University Kuala Lumpur,Universiti Infrastruktur Kuala Lumpur,IUKL,1973,Kajang,Selangor,
Limkokwing University of Creative Technology,Universiti Teknologi Kreatif Limkokwing,LUCT,1992,Cyberjaya,Selangor,
Lincoln University College,Universiti Lincoln,LUC,2002,Petaling Jaya,Selangor,
Malaysia University of Science and Technology,Universiti Sains dan Teknologi Malaysia,MUST,2000,Petaling Jaya,Selangor,
Management and Science University,Universiti Sains Dan Pengurusan,MSU,2002,Shah Alam,Selangor,
Monash University,Universiti Monash,MONASH,1998,Subang Jaya,Selangor,
Multimedia University,Universiti Multimedia,MMU,1994,Cyberjaya,Selangor,
New Era University College,Kolej Universiti New Era,NEUC,1997,Kajang,Selangor,
Perdana University,Universiti Perdana,PU,2011,Serdang,Selangor,
SEGi University,Universiti SEGi,SEGi,1977,Kota Damansara,Selangor,
Selangor International Islamic University College,Kolej Universiti Islam Antarabangsa Selangor,KUIS,1995,Bangi,Selangor,
Sunway University,Universiti Sunway,SYUC,1987,Subang Jaya,Selangor,
Taylor's University,Universiti Taylor,TAYLOR,1969,Subang Jaya,Selangor,
Tenaga Nasional University,Universiti Tenaga Nasional,UNITEN,1976,Kajang,Selangor,
Tun Abdul Razak University,Universiti Tun Abdul Razak,UNIRAZAK,1998,Petaling Jaya,Selangor,
University of Management and Technology,Universiti Pengurusan dan Teknologi,UNiM,2011,Petaling Jaya,Selangor,
University of Nottingham Malaysia Campus,Universiti Nottingham Kampus Malaysia,UNMC,2000,Semenyih,Selangor,
University of Selangor,Universiti Selangor,UNISEL,1999,Bestari Jaya,Selangor,
Universiti Islam Malaysia,Islamic University of Malaysia,UIM,2013,Cyberjaya,Selangor,
University Tunku Abdul Rahman,Universiti Tunku Abdul Rahman,UTAR,2002,Petaling Jaya & Sungai Long,Selangor,
TATI University College,Kolej Universiti TATI,TATiUC,1993,Kemaman,Terengganu,
Newcastle University Medicine Malaysia,Universiti Perubatan Newcastle Malaysia,NUMM,2009,Johor Bahru,Johor,
Southern University College,Kolej Universiti Southern,SUC,1990,Skudai,Johor,
Tunku Abdul Rahman University College,Kolej Universiti Tunku Abdul Rahman,TARC,1969,Labis,Johor,
University of Southampton Malaysia Campus,Universiti Southampton Kampus Malaysia,USMC,2012,Johor Bahru,Johor,
"Raffles University Iskandar, Malaysia",Universiti Raffles Iskandar,RUI,2012,Johor Bahru,Johor,
"Westminster International College, Malaysia",Westminster International College,WIC,2005,Subang Jaya,Johor,
